control,target,0
IRF4,IRF4,1.2638136251482766
IRF4,REL,-0.07025688465141684
IRF4,PAX5,-0.005516166138920746
IRF4,RELA,0.0012240061912516603
IRF4,PRDM1,0.1660827857548061
IRF4,AICDA,-0.018162785351082705
REL,IRF4,-0.07025688465141684
REL,REL,1.2565159656039062
REL,PAX5,0.07810398694574071
REL,RELA,0.014693655824185557
REL,PRDM1,-0.12920014058201004
REL,AICDA,0.08365825860220077
PAX5,IRF4,-0.005516166138920746
PAX5,REL,0.07810398694574071
PAX5,PAX5,1.2248865019375828
PAX5,RELA,0.04289486248885176
PAX5,PRDM1,-0.10141137405221816
PAX5,AICDA,0.06664712315588593
RELA,IRF4,0.0012240061912516603
RELA,REL,0.014693655824185557
RELA,PAX5,0.04289486248885176
RELA,RELA,1.184027431168502
RELA,PRDM1,-0.004324222580073757
RELA,AICDA,-0.0031713101093356574
PRDM1,IRF4,0.1660827857548061
PRDM1,REL,-0.12920014058201004
PRDM1,PAX5,-0.10141137405221816
PRDM1,RELA,-0.004324222580073757
PRDM1,PRDM1,1.097573574831217
PRDM1,AICDA,-0.0782239949957815
AICDA,IRF4,-0.018162785351082705
AICDA,REL,0.08365825860220077
AICDA,PAX5,0.06664712315588593
AICDA,RELA,-0.0031713101093356574
AICDA,PRDM1,-0.0782239949957815
AICDA,AICDA,0.9445903222971372
