# IRF4-IRF4,IRF4-REL,IRF4-PAX5,IRF4-RELA,IRF4-PRDM1,IRF4-AICDA,REL-IRF4,REL-REL,REL-PAX5,REL-RELA,REL-PRDM1,REL-AICDA,PAX5-IRF4,PAX5-REL,PAX5-PAX5,PAX5-RELA,PAX5-PRDM1,PAX5-AICDA,RELA-IRF4,RELA-REL,RELA-PAX5,RELA-RELA,RELA-PRDM1,RELA-AICDA,PRDM1-IRF4,PRDM1-REL,PRDM1-PAX5,PRDM1-RELA,PRDM1-PRDM1,PRDM1-AICDA,AICDA-IRF4,AICDA-REL,AICDA-PAX5,AICDA-RELA,AICDA-PRDM1,AICDA-AICDA
1.263813625148276554e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.256515965603906215e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.224886501937582750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.184027431168501954e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.097573574831216980e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.445903222971372415e-01
1.263813625148276554e+00,-7.452245729885080897e-03,1.304953154855384781e-03,1.475191961308885838e-03,1.523526791049635218e-02,-1.632902118560904136e-04,-7.452245729885080897e-03,1.256515965603906215e+00,7.750634910365169702e-03,1.043538440708443801e-03,-1.584973133301868786e-02,7.180601083549907442e-03,1.304953154855384781e-03,7.750634910365169702e-03,1.224886501937582750e+00,5.557973506449138609e-03,-1.189472867835655173e-02,7.143755181645904812e-03,1.475191961308885838e-03,1.043538440708443801e-03,5.557973506449138609e-03,1.184027431168501954e+00,-2.005026728469956696e-03,3.976488512244744913e-04,1.523526791049635218e-02,-1.584973133301868786e-02,-1.189472867835655173e-02,-2.005026728469956696e-03,1.097573574831216980e+00,-7.267061968326453750e-03,-1.632902118560904136e-04,7.180601083549907442e-03,7.143755181645904812e-03,3.976488512244744913e-04,-7.267061968326453750e-03,9.445903222971372415e-01
1.263813625148276554e+00,-1.414427187453866711e-02,2.157034757558084787e-03,2.599021484831021220e-03,2.926083753651220754e-02,-5.607953134770224434e-04,-1.414427187453866711e-02,1.256515965603906215e+00,1.490914475420309152e-02,2.115265703574875731e-03,-2.959893742081838586e-02,1.386541510011422319e-02,2.157034757558084787e-03,1.490914475420309152e-02,1.224886501937582750e+00,1.044320107560747259e-02,-2.231011230192925937e-02,1.359026444780579712e-02,2.599021484831021220e-03,2.115265703574875731e-03,1.044320107560747259e-02,1.184027431168501954e+00,-3.541263014772440005e-03,6.966320039234123566e-04,2.926083753651220754e-02,-2.959893742081838586e-02,-2.231011230192925937e-02,-3.541263014772440005e-03,1.097573574831216980e+00,-1.383742491923962634e-02,-5.607953134770224434e-04,1.386541510011422319e-02,1.359026444780579712e-02,6.966320039234123566e-04,-1.383742491923962634e-02,9.445903222971372415e-01
1.263813625148276554e+00,-2.014937076049215861e-02,2.648318071671379101e-03,3.434048432869731687e-03,4.213141896636167505e-02,-1.134570224140181135e-03,-2.014937076049215861e-02,1.256515965603906215e+00,2.147048000774066240e-02,3.175686397411470099e-03,-4.155474883875606706e-02,2.005723264170031564e-02,2.648318071671379101e-03,2.147048000774066240e-02,1.224886501937582750e+00,1.472093498850543004e-02,-3.144590593535554618e-02,1.938830851840909336e-02,3.434048432869731687e-03,3.175686397411470099e-03,1.472093498850543004e-02,1.184027431168501954e+00,-4.705282876548802160e-03,9.050352995676971433e-04,4.213141896636167505e-02,-4.155474883875606706e-02,-3.144590593535554618e-02,-4.705282876548802160e-03,1.097573574831216980e+00,-1.978108616047333582e-02,-1.134570224140181135e-03,2.005723264170031564e-02,1.938830851840909336e-02,9.050352995676971433e-04,-1.978108616047333582e-02,9.445903222971372415e-01
1.263813625148276554e+00,-2.553422186009894970e-02,2.857471998985798046e-03,4.034193805038156951e-03,5.391000283086377909e-02,-1.836018510087485079e-03,-2.553422186009894970e-02,1.256515965603906215e+00,2.744826317562107376e-02,4.198804766622371044e-03,-5.197433286632417021e-02,2.576849877998393934e-02,2.857471998985798046e-03,2.744826317562107376e-02,1.224886501937582750e+00,1.845536315293846291e-02,-3.947211790838513895e-02,2.458859895705904283e-02,4.034193805038156951e-03,4.198804766622371044e-03,1.845536315293846291e-02,1.184027431168501954e+00,-5.574119520368998534e-03,1.032579390374892617e-03,5.391000283086377909e-02,-5.197433286632417021e-02,-3.947211790838513895e-02,-5.574119520368998534e-03,1.097573574831216980e+00,-2.516084111747960220e-02,-1.836018510087485079e-03,2.576849877998393934e-02,2.458859895705904283e-02,1.032579390374892617e-03,-2.516084111747960220e-02,9.445903222971372415e-01
1.263813625148276554e+00,-3.035944310369196111e-02,2.850519224753452537e-03,4.445307376555673699e-03,6.466414837928105563e-02,-2.624986675061708082e-03,-3.035944310369196111e-02,1.256515965603906215e+00,3.286814046096130787e-02,5.168400039704344057e-03,-6.107381297790991787e-02,3.101835369281011334e-02,2.850519224753452537e-03,3.286814046096130787e-02,1.224886501937582750e+00,2.170757945364963290e-02,-4.653387635548433127e-02,2.924191198056875704e-02,4.445307376555673699e-03,5.168400039704344057e-03,2.170757945364963290e-02,1.184027431168501954e+00,-6.209326167454561757e-03,1.089699339867459659e-03,6.466414837928105563e-02,-6.107381297790991787e-02,-4.653387635548433127e-02,-6.209326167454561757e-03,1.097573574831216980e+00,-3.003286648563379541e-02,-2.624986675061708082e-03,3.101835369281011334e-02,2.924191198056875704e-02,1.089699339867459659e-03,-3.003286648563379541e-02,9.445903222971372415e-01
1.263813625148276554e+00,-3.468012333341768949e-02,2.682012962420856662e-03,4.705928545396671249e-03,7.446326249694402988e-02,-3.468788117633089894e-03,-3.468012333341768949e-02,1.256515965603906215e+00,3.776301825474095986e-02,6.075238922573931478e-03,-6.903550758136389742e-02,3.583032208445623146e-02,2.682012962420856662e-03,3.776301825474095986e-02,1.224886501937582750e+00,2.453439585962487526e-02,-5.275544232506545334e-02,3.339773768412215849e-02,4.705928545396671249e-03,6.075238922573931478e-03,2.453439585962487526e-02,1.184027431168501954e+00,-6.660145982827678744e-03,1.086877635918727164e-03,7.446326249694402988e-02,-6.903550758136389742e-02,-5.275544232506545334e-02,-6.660145982827678744e-03,1.097573574831216980e+00,-3.444736796362091874e-02,-3.468788117633089894e-03,3.583032208445623146e-02,3.339773768412215849e-02,1.086877635918727164e-03,-3.444736796362091874e-02,9.445903222971372415e-01
1.263813625148276554e+00,-3.854631146644341838e-02,2.396396320240602555e-03,4.848128095970035897e-03,8.337663321751601075e-02,-4.341222724091705482e-03,-3.854631146644341838e-02,1.256515965603906215e+00,4.216968916322551969e-02,6.915003543965510084e-03,-7.601379905188070107e-02,4.023054028206037719e-02,2.396396320240602555e-03,4.216968916322551969e-02,1.224886501937582750e+00,2.698774627003115711e-02,-5.824352475789430078e-02,3.710335276542224558e-02,4.848128095970035897e-03,6.915003543965510084e-03,2.698774627003115711e-02,1.184027431168501954e+00,-6.966002121402117310e-03,1.034184652413353868e-03,8.337663321751601075e-02,-7.601379905188070107e-02,-5.824352475789430078e-02,-6.966002121402117310e-03,1.097573574831216980e+00,-3.844922053023459851e-02,-4.341222724091705482e-03,4.023054028206037719e-02,3.710335276542224558e-02,1.034184652413353868e-03,-3.844922053023459851e-02,9.445903222971372415e-01
1.263813625148276554e+00,-4.200345722929159364e-02,2.029392426599810253e-03,4.898355999535972290e-03,9.147203628879235771e-02,-5.221637809331445071e-03,-4.200345722929159364e-02,1.256515965603906215e+00,4.612647891673978678e-02,7.686763011351572562e-03,-8.213989682123448710e-02,4.424642150741724816e-02,2.029392426599810253e-03,4.612647891673978678e-02,1.224886501937582750e+00,2.911449474772882101e-02,-6.309002376861710948e-02,4.040322853686513505e-02,4.898355999535972290e-03,7.686763011351572562e-03,2.911449474772882101e-02,1.184027431168501954e+00,-7.158463985884423036e-03,9.409829710525922149e-04,9.147203628879235771e-02,-8.213989682123448710e-02,-6.309002376861710948e-02,-7.158463985884423036e-03,1.097573574831216980e+00,-4.207856625002311807e-02,-5.221637809331445071e-03,4.424642150741724816e-02,4.040322853686513505e-02,9.409829710525922149e-04,-4.207856625002311807e-02,9.445903222971372415e-01
1.263813625148276554e+00,-4.509280676383204539e-02,1.609333082680427943e-03,4.878248414000924647e-03,9.881477557048255755e-02,-6.094059350825917556e-03,-4.509280676383204539e-02,1.256515965603906215e+00,4.967163960196630673e-02,8.391855690070429766e-03,-8.752571157885173647e-02,4.790567252721116692e-02,1.609333082680427943e-03,4.967163960196630673e-02,1.224886501937582750e+00,3.095651016077297091e-02,-6.737430559061748092e-02,4.333869590994586518e-02,4.878248414000924647e-03,8.391855690070429766e-03,3.095651016077297091e-02,1.184027431168501954e+00,-7.262806681593857866e-03,8.157567953098287909e-04,9.881477557048255755e-02,-8.752571157885173647e-02,-6.737430559061748092e-02,-7.262806681593857866e-03,1.097573574831216980e+00,-4.537135525476770903e-02,-6.094059350825917556e-03,4.790567252721116692e-02,4.333869590994586518e-02,8.157567953098287909e-04,-4.537135525476770903e-02,9.445903222971372415e-01
