# IRF4-IRF4,IRF4-REL,IRF4-PAX5,IRF4-RELA,IRF4-PRDM1,IRF4-AICDA,REL-IRF4,REL-REL,REL-PAX5,REL-RELA,REL-PRDM1,REL-AICDA,PAX5-IRF4,PAX5-REL,PAX5-PAX5,PAX5-RELA,PAX5-PRDM1,PAX5-AICDA,RELA-IRF4,RELA-REL,RELA-PAX5,RELA-RELA,RELA-PRDM1,RELA-AICDA,PRDM1-IRF4,PRDM1-REL,PRDM1-PAX5,PRDM1-RELA,PRDM1-PRDM1,PRDM1-AICDA,AICDA-IRF4,AICDA-REL,AICDA-PAX5,AICDA-RELA,AICDA-PRDM1,AICDA-AICDA
1.263813625148276554e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.256515965603906215e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.224886501937582750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.184027431168501954e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.097573574831216980e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.445903222971372415e-01
1.263813625148276554e+00,-1.414427219122916211e-02,2.157034749068406209e-03,2.599021478868692933e-03,2.926084027995805997e-02,-5.607953216097201921e-04,-1.414427219122916211e-02,1.256515965603906215e+00,1.490914513110898863e-02,2.115265716299095412e-03,-2.959894033819502127e-02,1.386541539669007561e-02,2.157034749068406209e-03,1.490914513110898863e-02,1.224886501937582750e+00,1.044320120618421645e-02,-2.231011353819344761e-02,1.359026472528061802e-02,2.599021478868692933e-03,2.115265716299095412e-03,1.044320120618421645e-02,1.184027431168501954e+00,-3.541263004488622804e-03,6.966320023592349666e-04,2.926084027995805997e-02,-2.959894033819502127e-02,-2.231011353819344761e-02,-3.541263004488622804e-03,1.097573574831216980e+00,-1.383742520804396615e-02,-5.607953216097201921e-04,1.386541539669007561e-02,1.359026472528061802e-02,6.966320023592349666e-04,-1.383742520804396615e-02,9.445903222971372415e-01
1.263813625148276554e+00,-2.553422505138475823e-02,2.857471764424269426e-03,4.034193614012734040e-03,5.391003166683334263e-02,-1.836018706559660197e-03,-2.553422505138475823e-02,1.256515965603906215e+00,2.744826728750753356e-02,4.198805036663082191e-03,-5.197435969932154981e-02,2.576850204203268505e-02,2.857471764424269426e-03,2.744826728750753356e-02,1.224886501937582750e+00,1.845536441344331618e-02,-3.947212943477506480e-02,2.458860172706772707e-02,4.034193614012734040e-03,4.198805036663082191e-03,1.845536441344331618e-02,1.184027431168501954e+00,-5.574119230175668231e-03,1.032579347218421165e-03,5.391003166683334263e-02,-5.197435969932154981e-02,-3.947212943477506480e-02,-5.574119230175668231e-03,1.097573574831216980e+00,-2.516084399923329898e-02,-1.836018706559660197e-03,2.576850204203268505e-02,2.458860172706772707e-02,1.032579347218421165e-03,-2.516084399923329898e-02,9.445903222971372415e-01
1.263813625148276554e+00,-3.468013305738226748e-02,2.682011807113773589e-03,4.705927537312541188e-03,7.446335325138046801e-02,-3.468789062532365471e-03,-3.468013305738226748e-02,1.256515965603906215e+00,3.776303143385224825e-02,6.075240116660872783e-03,-6.903558341629059680e-02,3.583033271061894509e-02,2.682011807113773589e-03,3.776303143385224825e-02,1.224886501937582750e+00,2.453439952592858034e-02,-5.275547527239436707e-02,3.339774597521909943e-02,4.705927537312541188e-03,6.075240116660872783e-03,2.453439952592858034e-02,1.184027431168501954e+00,-6.660144685200159419e-03,1.086877408694603966e-03,7.446335325138046801e-02,-6.903558341629059680e-02,-5.275547527239436707e-02,-6.660144685200159419e-03,1.097573574831216980e+00,-3.444737671117650835e-02,-3.468789062532365471e-03,3.583033271061894509e-02,3.339774597521909943e-02,1.086877408694603966e-03,-3.444737671117650835e-02,9.445903222971372415e-01
1.263813625148276554e+00,-4.200347594713069871e-02,2.029389405143399664e-03,4.898353202521685441e-03,9.147221551687545471e-02,-5.221640271413387907e-03,-4.200347594713069871e-02,1.256515965603906215e+00,4.612650514316474215e-02,7.686765939608718005e-03,-8.214003407720013583e-02,4.424644307858355968e-02,2.029389405143399664e-03,4.612650514316474215e-02,1.224886501937582750e+00,2.911450149282568400e-02,-6.309008399221915919e-02,4.040324413243576163e-02,4.898353202521685441e-03,7.686765939608718005e-03,2.911450149282568400e-02,1.184027431168501954e+00,-7.158460933385116763e-03,9.409823373146628932e-04,9.147221551687545471e-02,-8.214003407720013583e-02,-6.309008399221915919e-02,-7.158460933385116763e-03,1.097573574831216980e+00,-4.207858312221014058e-02,-5.221640271413387907e-03,4.424644307858355968e-02,4.040324413243576163e-02,9.409823373146628932e-04,-4.207858312221014058e-02,9.445903222971372415e-01
1.263813625148276554e+00,-4.785178772000798358e-02,1.158369125660139434e-03,4.805361717397801935e-03,1.054673291900992127e-01,-6.946414051867596737e-03,-4.785178772000798358e-02,1.256515965603906215e+00,5.284232584600926513e-02,9.033085202406776829e-03,-9.226721501081525112e-02,5.123562210112138360e-02,1.158369125660139434e-03,5.284232584600926513e-02,1.224886501937582750e+00,3.255091737377110300e-02,-7.116518175091966769e-02,4.594782446889320721e-02,4.805361717397801935e-03,9.033085202406776829e-03,3.255091737377110300e-02,1.184027431168501954e+00,-7.299247178700811987e-03,6.660323435727379636e-04,1.054673291900992127e-01,-9.226721501081525112e-02,-7.116518175091966769e-02,-7.299247178700811987e-03,1.097573574831216980e+00,-4.835985257156505401e-02,-6.946414051867596737e-03,5.123562210112138360e-02,4.594782446889320721e-02,6.660323435727379636e-04,-4.835985257156505401e-02,9.445903222971372415e-01
1.263813625148276554e+00,-5.251078773648470976e-02,2.278396286700090341e-04,4.555027577736482473e-03,1.169317156751175091e-01,-8.558021256170918536e-03,-5.251078773648470976e-02,1.256515965603906215e+00,5.819908292897751911e-02,1.013911866067550814e-02,-1.001338205350221500e-01,5.701179978017221345e-02,2.278396286700090341e-04,5.819908292897751911e-02,1.224886501937582750e+00,3.512362328823311758e-02,-7.749718292174806455e-02,5.032277447740803739e-02,4.555027577736482473e-03,1.013911866067550814e-02,3.512362328823311758e-02,1.184027431168501954e+00,-7.229818862174587635e-03,3.183877330926974947e-04,1.169317156751175091e-01,-1.001338205350221500e-01,-7.749718292174806455e-02,-7.229818862174587635e-03,1.097573574831216980e+00,-5.353674092602319495e-02,-8.558021256170918536e-03,5.701179978017221345e-02,5.032277447740803739e-02,3.183877330926974947e-04,-5.353674092602319495e-02,9.445903222971372415e-01
1.263813625148276554e+00,-5.621437820207454000e-02,-6.709285959234055630e-04,4.229380301514169133e-03,1.262903204623361808e-01,-1.001378791875551406e-02,-5.621437820207454000e-02,1.256515965603906215e+00,6.245163265866404689e-02,1.103835002370523628e-02,-1.062708135599932935e-01,6.177028480855675796e-02,-6.709285959234055630e-04,6.245163265866404689e-02,1.224886501937582750e+00,3.704821526537919324e-02,-8.247682385161010654e-02,5.376864740807158621e-02,4.229380301514169133e-03,1.103835002370523628e-02,3.704821526537919324e-02,1.184027431168501954e+00,-7.043936185605140406e-03,-6.036958173863137846e-05,1.262903204623361808e-01,-1.062708135599932935e-01,-8.247682385161010654e-02,-7.043936185605140406e-03,1.097573574831216980e+00,-5.780776226388822242e-02,-1.001378791875551406e-02,6.177028480855675796e-02,5.376864740807158621e-02,-6.036958173863137846e-05,-5.780776226388822242e-02,9.445903222971372415e-01
1.263813625148276554e+00,-5.915309451035685728e-02,-1.490519728846778115e-03,3.879197709320125233e-03,1.339087391709170294e-01,-1.129825104864918064e-02,-5.915309451035685728e-02,1.256515965603906215e+00,6.581604820306716230e-02,1.176473729263141643e-02,-1.110758526611630437e-01,6.568240349111026388e-02,-1.490519728846778115e-03,6.581604820306716230e-02,1.224886501937582750e+00,3.848829254589909016e-02,-8.640228568735072723e-02,5.648037044957227026e-02,3.879197709320125233e-03,1.176473729263141643e-02,3.848829254589909016e-02,1.184027431168501954e+00,-6.800641239684268591e-03,-4.414286618774369213e-04,1.339087391709170294e-01,-1.110758526611630437e-01,-8.640228568735072723e-02,-6.800641239684268591e-03,1.097573574831216980e+00,-6.133420075052874176e-02,-1.129825104864918064e-02,6.568240349111026388e-02,5.648037044957227026e-02,-4.414286618774369213e-04,-6.133420075052874176e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.148135850130890395e-02,-2.210806194265516490e-03,3.534553323620659958e-03,1.400966668271564630e-01,-1.241249814068481373e-02,-6.148135850130890395e-02,1.256515965603906215e+00,6.847104409008583636e-02,1.234917337104061291e-02,-1.148495556194650408e-01,6.889474864791170217e-02,-2.210806194265516490e-03,6.847104409008583636e-02,1.224886501937582750e+00,3.956684875571635923e-02,-8.950278733033689704e-02,5.861391081642339934e-02,3.534553323620659958e-03,1.234917337104061291e-02,3.956684875571635923e-02,1.184027431168501954e+00,-6.536456855701172630e-03,-8.061264857228201460e-04,1.400966668271564630e-01,-1.148495556194650408e-01,-8.950278733033689704e-02,-6.536456855701172630e-03,1.097573574831216980e+00,-6.424763886188805673e-02,-1.241249814068481373e-02,6.889474864791170217e-02,5.861391081642339934e-02,-8.061264857228201460e-04,-6.424763886188805673e-02,9.445903222971372415e-01
